חותמת זמן,מצב לימודים,מוסד לימודים,סיווג מקום עבודה,תחום עיסוק - אפשר לבחור שילוב של עיסוקים,שם חברה (לחברות גלובליות באנגלית/חברות ישראליות בעברית),שנות ניסיון,"שכר (בש""ח) - ברוטו!",שכר שעתי/גלובלי,"הערות: תנאים (משכורת 13, קרן השתלמות וכו') וכל דבר שכדאי לציין",קבלת רכב מהעבודה
05/08/2020 11:55:03,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,0-1,59,שעתי,,לא
05/08/2020 12:05:01,סטודנט/ית,מכללת אפקה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",Devops,אלביט מערכות,0-1,50,שעתי,,לא
05/08/2020 12:05:05,סטודנט/ית,מכללת אפקה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",Devops,אלביט מערכות,0-1,50,שעתי,,לא
05/08/2020 12:13:37,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,ניתוח נתונים - BI/Data analyst,,0-1,8000,שעתי,,כן
05/08/2020 13:26:11,בוגר/ת,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),מדעי נתונים - Data science,,0-1,20000,גלובלי,קרן השתלמות,לא
05/08/2020 14:02:00,בוגר/ת,בן גוריון,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,בנק,0-1,15000,גלובלי,קרן השתלמות,לא
05/08/2020 14:54:38,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,Medatech ,0-1,12000,גלובלי,,לא
05/08/2020 16:29:18,בוגר/ת,אוניברסיטת חיפה,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,,0-1,10000,גלובלי,,לא
06/08/2020 11:42:05,סטודנט/ית,אוניברסיטת אריאל,מוסד ממשלתי,QA (Software) - אוטומציה,משרד האוצר,0-1,6000,שעתי,קרן השתלמות מהיום הראשון ותנאים של עובדי מדינה,לא
09/08/2020 14:37:42,בוגר/ת,מכללת סמי שמעון,עצמאי,ניהול קמפיינים דיגיטליים,,0-1,10000,גלובלי,,לא
10/08/2020 16:32:25,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,15000,גלובלי,קרן השתלמות,לא
19/08/2020 08:20:37,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, מדעי נתונים - Data science, תפעול וייצור (תפ""י), תכנות: Frontend/Backend/Fullstack, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,10000,שעתי,,לא
07/09/2020 17:30:08,סטודנט/ית,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,6800,גלובלי,"קרן השתלמות, תן ביס, נסיעות",לא
24/09/2020 11:51:18,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),מנהל קמפיינים,Kendago,0-1,11000,גלובלי,,לא
24/09/2020 11:51:44,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,40,שעתי,,לא
24/09/2020 11:54:04,סטודנט/ית,אוניברסיטת אריאל,מוסד ממשלתי,ניהול פרוייקטים/ PMO,מילגם,0-1,4000,שעתי,יש קרן השתלמות,לא
24/09/2020 11:55:00,סטודנט/ית,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Pandologic,0-1,40,שעתי,,לא
24/09/2020 11:58:24,בוגר/ת,רופין,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),יועץ מערכות מידע ,פאהן קנה,0-1,7000,גלובלי,,לא
24/09/2020 12:10:02,סטודנט/ית,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,BlueVine,0-1,50,שעתי,,לא
24/09/2020 12:11:42,בוגר/ת,בן גוריון,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,Be2see אשר שלחו אותי למגדל,0-1,14000,גלובלי,קרן השתלמות,לא
24/09/2020 12:39:24,סטודנט/ית,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",אלתא,0-1,42,שעתי,קרן השתלמות מעולה ,לא
24/09/2020 15:26:30,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,13000,גלובלי,קרן השתלמות,לא
24/09/2020 19:00:41,בוגר/ת,אוניברסיטת אריאל,רשת חנויות,הנדסת ארגון ושיטות,,0-1,10000,גלובלי,,לא
24/09/2020 19:37:57,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Ex Libris,0-1,14000,גלובלי,,לא
05/10/2020 16:06:58,סטודנט/ית,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst",,0-1,7200,גלובלי,10bis,לא
20/10/2020 02:22:20,בוגר/ת,טכניון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, תפעול וייצור (תפ""י)",,0-1,11000,שעתי,"קרן השתלמות, הסעות, ארוחות, מתנות, בונוסים",לא
20/10/2020 14:53:15,סטודנט/ית,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,0-1,8000,שעתי,,לא
02/11/2020 19:19:13,בוגר/ת,אוניברסיטת אריאל,חברה,"ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,8000,גלובלי,,כן
02/11/2020 19:20:55,סטודנט/ית,אוניברסיטת אריאל,מוסד ממשלתי,הנדסת ארגון ושיטות,צהל,0-1,29,שעתי,,לא
02/11/2020 19:25:16,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,ניתוח נתונים - BI/Data analyst,,0-1,9000,גלובלי,,לא
02/11/2020 19:27:03,בוגר/ת,בן גוריון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניתוח נתונים - BI/Data analyst,,0-1,12400,גלובלי,,לא
02/11/2020 19:39:19,בוגר/ת,אוניברסיטת תל אביב,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),הנדסת ארגון ושיטות,,0-1,14000,גלובלי,"קרן השתלמות, קרן פנסיה, תשלום עבור נסיעות ברכב פרטי",לא
02/11/2020 19:58:44,בוגר/ת,בן גוריון,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניהול פרוייקטים/ PMO,,0-1,13000,גלובלי,קרן השתלמות,לא
02/11/2020 20:03:43,סטודנט/ית,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Menahel4u,0-1,7500,שעתי,,לא
02/11/2020 20:03:53,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,40,שעתי,,לא
02/11/2020 20:26:12,בוגר/ת,עזריאלי,בית חולים הדסה ,"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, הנדסת ארגון ושיטות",מרכז רפואי הדסה,0-1,10000,גלובלי,"משכורת 13, קרן השתלמות, הטבות בריאות בבית חולים",לא
02/11/2020 21:55:39,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,10000,גלובלי,,לא
02/11/2020 22:27:04,בוגר/ת,רופין,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ביקורת פנימית מבקר ויועץ מערכות מידע,פאהן קנה ,0-1,7000,גלובלי,,לא
03/11/2020 08:53:54,סטודנט/ית,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Menahel4u,0-1,7500,שעתי,,לא
12/11/2020 11:47:47,בוגר/ת,המרכז האקדמי לב,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",המשבב ,0-1,10500,שעתי,,
17/11/2020 13:06:16,בוגר/ת,המרכז האקדמי רופין,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",יבוא ויצוא,Philips healthcare,0-1,11000,גלובלי,"עובדת קבלן, קרן השתלמות אחרי 7 חודשים",לא
21/11/2020 14:34:35,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Optimove,0-1,14000,גלובלי,קרן השתלמות,לא
21/11/2020 14:41:21,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,12300,גלובלי,"קרן השתלמות, ביטוח מנהלים, ביטוח בריאות",לא
21/11/2020 15:12:49,בוגר/ת,אורן בראודה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",אלביט,0-1,13000,גלובלי,,לא
21/11/2020 15:26:15,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,11000,גלובלי,,לא
21/11/2020 15:42:45,סטודנט/ית,רופין,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,אלקטרה,0-1,11000,גלובלי,,לא
21/11/2020 15:47:06,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,10500,גלובלי,"קרן השתלמות, פנסיה",לא
21/11/2020 16:13:31,סטודנט/ית,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניתוח נתונים - BI/Data analyst, הנדסת ארגון ושיטות",,0-1,35,שעתי,,לא
22/11/2020 09:06:58,בוגר/ת,אוניברסיטת אריאל,תקשורת,"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst",Yes,0-1,13000,גלובלי,,לא
26/11/2020 11:37:56,בוגר/ת,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,ניתוח נתונים - BI/Data analyst,גב מערכות,0-1,12000,גלובלי,"קרן השתלמות, פנסיה, ביטוח בריאות חינם",לא
09/12/2020 23:01:41,בוגר/ת,אוניברסיטת אריאל,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,בנק,0-1,11000,גלובלי,,לא
12/01/2021 09:07:36,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,17000,גלובלי,,לא
12/01/2021 09:08:03,בוגר/ת,אוניברסיטת אריאל,עמותה,"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",אלומה,0-1,10000,גלובלי,קרן השתלמות,לא
12/01/2021 09:09:45,בוגר/ת,HIT מכון טכנלוגי,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,10500,גלובלי,קרן השתלמות,לא
